Index,Entry,Location,Category,Label
2161,Q9HBX8,Cell membrane,Cell membrane,2
2162,Q9UPM6,Nucleus,Nucleus,5
2163,P0C6S8,Membrane,Membrane,9
2164,Q6UY18,Membrane,Membrane,9
2166,Q13136,Cytoplasm,Cytoplasm,4
2167,O75334,Cytoplasm,Cytoplasm,4
2168,O75335,Cytoplasm,Cytoplasm,4
2170,P11150,Secreted,Secreted,6
2171,Q8WWY8,Secreted,Secreted,6
2172,Q5VXJ0,Secreted,Secreted,6
2173,Q99732,Cytoplasm,Cytoplasm,4
2174,Q9H0V9,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
2177,P16050,Cytoplasm,Cytoplasm,4
2178,Q8IVV2,Cell projection,Cell projection,1
2179,Q08397,Secreted,Secreted,6
2180,Q9Y4K0,Secreted,Secreted,6
2182,P43657,Cell membrane,Cell membrane,2
2184,Q5SZI1,Membrane,Membrane,9
2186,Q5BKY1,Nucleus,Nucleus,5
2187,Q8N6Y2,Secreted,Secreted,6
2188,Q50LG9,Membrane,Membrane,9
2190,Q9NT99,Membrane,Membrane,9
2193,Q6P9F7,Cell membrane,Cell membrane,2
2194,Q7L1W4,Cell membrane,Cell membrane,2
2195,Q6NSJ5,Cell membrane,Cell membrane,2
2196,Q9C099,Cytoplasm,Cytoplasm,4
2197,Q9Y2L9,Cytoplasm,Cytoplasm,4
2198,Q96II8,Secreted,Secreted,6
2199,Q9P244,Membrane,Membrane,9
2200,Q9ULH4,Membrane,Membrane,9
2201,O94898,Cell membrane,Cell membrane,2
2202,Q7Z4F1,Membrane,Membrane,9
2203,Q9Y561,Membrane,Membrane,9
2204,O75074,Membrane,Membrane,9
2206,P16150,Nucleus,Nucleus,5
2208,Q86UP9,Membrane,Membrane,9
2210,Q5VYY2,Secreted,Secreted,6
2211,Q17RR3,Secreted,Secreted,6
2212,Q05469,Cell membrane,Cell membrane,2
2213,Q6PI73,Membrane,Membrane,9
2214,Q8N423,Membrane,Membrane,9
2215,P43034,Cytoplasm,Cytoplasm,4
2217,Q68DH5,Membrane,Membrane,9
2218,Q9Y468,Nucleus,Nucleus,5
2219,Q96JM7,Nucleus,Nucleus,5
2220,Q9NZU5,Cytoplasm,Cytoplasm,4
2221,Q96KR4,Cytoplasm,Cytoplasm,4
2222,P02545,Nucleus speckle,Nucleus,5
2224,Q0VAK6,Cytoplasm,Cytoplasm,4
2227,Q9C0E8,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
2230,Q9UN81,Nucleus,Nucleus,5
2231,P23490,Cytoplasm,Cytoplasm,4
2232,Q96JB6,Secreted,Secreted,6
2233,Q9H1C0,Cell membrane,Cell membrane,2
2234,Q9BQK8,Nucleus,Nucleus,5
2235,Q93052,Nucleus,Nucleus,5
2236,Q86X29,Cell membrane,Cell membrane,2
2238,A0A0G2JS06,Secreted,Secreted,6
2239,A0A075B6I9,Secreted,Secreted,6
2240,P12980,Nucleus,Nucleus,5
2241,Q6UXB3,Cell membrane,Cell membrane,2
2243,Q5XG99,Membrane,Membrane,9
2244,Q9NPA3,Nucleus,Nucleus,5
2245,Q99558,Cytoplasm,Cytoplasm,4
2246,O43318,Cytoplasm,Cytoplasm,4
2247,Q9NXJ0,Membrane,Membrane,9
2248,Q9BY19,Membrane,Membrane,9
2250,A6NDP7,Membrane,Membrane,9
2251,Q8WZ33,Cytoplasm,Cytoplasm,4
2252,O75444,Nucleus,Nucleus,5
2256,O15481,Cytoplasm,Cytoplasm,4
2259,Q9Y5V3,Cytoplasm,Cytoplasm,4
2261,Q9UDY8,Cytoplasm,Cytoplasm,4
2262,Q8IZL2,Nucleus speckle,Nucleus,5
2263,Q9H8J5,Membrane,Membrane,9
2264,Q16798,Mitochondrion matrix,Mitochondrion,8
2265,P53582,Cytoplasm,Cytoplasm,4
2266,P78559,Cytoplasm,Cytoplasm,4
2267,Q14244,Cytoplasm,Cytoplasm,4
2268,Q16644,Nucleus,Nucleus,5
2269,Q86UD3,Cytoplasmic vesicle membrane,Cytoplasm,4
2270,Q5T0T0,Cytoplasmic vesicle membrane,Cytoplasm,4
2271,A6NNE9,Cytoplasmic vesicle membrane,Cytoplasm,4
2272,Q9P0L2,Cell membrane,Cell membrane,2
2273,P35410,Cell membrane,Cell membrane,2
2274,P51948,Nucleus,Nucleus,5
2275,P56270,Nucleus,Nucleus,5
2276,Q9Y586,Nucleus,Nucleus,5
2277,Q8WWY6,Nucleus,Nucleus,5
2278,O95983,Nucleus,Nucleus,5
2279,Q96DN6,Nucleus,Nucleus,5
2280,Q9NS73,Nucleus,Nucleus,5
2281,Q9NUK0,Nucleus,Nucleus,5
2282,Q96T53,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
2283,Q6P1A2,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
2284,Q96N66,Membrane,Membrane,9
2286,Q14703,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
2287,Q6VMQ6,Nucleus,Nucleus,5
2288,Q8N8R3,Mitochondrion inner membrane,Mitochondrion,8
2290,Q07820,Membrane,Membrane,9
2291,Q8TDD5,Cell membrane,Cell membrane,2
2292,Q2Q1W2,Cytoplasm,Cytoplasm,4
2293,Q9HAP6,Cell membrane,Cell membrane,2
2294,O75145,Cytoplasm,Cytoplasm,4
2297,P06858,Cell membrane,Cell membrane,2
2298,P54315,Secreted,Secreted,6
2299,P54317,Secreted,Secreted,6
2300,Q9Y234,Mitochondrion,Mitochondrion,8
2301,O75019,Membrane,Membrane,9
2302,Q8N149,Secreted,Secreted,6
2303,P59901,Cell membrane,Cell membrane,2
2304,O75022,Cell membrane,Cell membrane,2
2305,O75023,Membrane,Membrane,9
2306,Q9BRT6,Nucleus,Nucleus,5
2309,Q6UX01,Cell membrane,Cell membrane,2
2310,Q96Q04,Membrane,Membrane,9
2311,Q9H9Z2,Cytoplasm,Cytoplasm,4
2313,Q9BYJ1,Cytoplasm,Cytoplasm,4
2314,P58215,Secreted,Secreted,6
2316,Q9UBY5,Cell membrane,Cell membrane,2
2317,Q99677,Cell membrane,Cell membrane,2
2318,Q8NI32,Cell membrane,Cell membrane,2
2319,Q8N7C0,Cell membrane,Cell membrane,2
2322,Q68CR7,Membrane,Membrane,9
2324,Q8TDW0,Cell membrane,Cell membrane,2
2326,Q96M69,Cytoplasmic vesicle,Cytoplasm,4
2327,Q6UXM1,Cell membrane,Cell membrane,2
2329,Q9P2V4,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
2330,Q8ND94,Membrane,Membrane,9
2331,Q86VZ4,Membrane,Membrane,9
2332,Q9NZR2,Membrane,Membrane,9
2333,Q07954,Cell membrane,Cell membrane,2
2334,O75096,Cell membrane,Cell membrane,2
2335,Q6UXK5,Membrane,Membrane,9
2336,Q969L4,Nucleus,Nucleus,5
2337,Q9Y333,Nucleus,Nucleus,5
2338,P62310,Nucleus,Nucleus,5
2340,P07195,Cytoplasm,Cytoplasm,4
2341,P07864,Cytoplasm,Cytoplasm,4
2342,P07098,Secreted,Secreted,6
2344,P36776,Mitochondrion matrix,Mitochondrion,8
2345,Q16609,Secreted,Secreted,6
2346,Q92539,Nucleus,Nucleus,5
2347,O95777,Nucleus,Nucleus,5
2348,Q8N112,Membrane,Membrane,9
2350,Q86V48,Nucleus,Nucleus,5
2351,Q86TE4,Secreted,Secreted,6
2352,P01703,Secreted,Secreted,6
2353,A0A075B6J9,Secreted,Secreted,6
2354,P01715,Secreted,Secreted,6
2355,A0A075B6I1,Secreted,Secreted,6
2356,O60449,Membrane,Membrane,9
2357,P14151,Cell membrane,Cell membrane,2
2358,O75608,Cytoplasm,Cytoplasm,4
2359,Q6UX82,Cell membrane,Cell membrane,2
2360,Q5VWZ2,Cytoplasm,Cytoplasm,4
2361,O43325,Nucleus,Nucleus,5
2363,Q9UKM7,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
2368,Q8WWC4,Mitochondrion matrix,Mitochondrion,8
2369,Q969L2,Cell membrane,Cell membrane,2
2370,Q96A59,Membrane,Membrane,9
2372,P46821,Cytoplasm,Cytoplasm,4
2373,P27816,Cytoplasm,Cytoplasm,4
2374,Q49MG5,Cytoplasm,Cytoplasm,4
2375,P49137,Cytoplasm,Cytoplasm,4
2376,Q15691,Cytoplasm,Cytoplasm,4
2379,Q7KZI7,Cell membrane,Cell membrane,2
2380,P27448,Cell membrane,Cell membrane,2
2381,O00187,Secreted,Secreted,6
2382,Q9Y2H9,Cell membrane,Cell membrane,2
2383,Q6P0Q8,Cytoplasm,Cytoplasm,4
2385,O15021,Cytoplasm,Cytoplasm,4
2388,P01705,Secreted,Secreted,6
2389,A0A075B6K0,Secreted,Secreted,6
2390,P01717,Secreted,Secreted,6
2391,A0A075B6H9,Secreted,Secreted,6
2392,A0A0B4J1Y8,Secreted,Secreted,6
2393,Q9BS40,Cytoplasm,Cytoplasm,4
2394,Q8NDX9,Secreted,Secreted,6
2395,O95867,Cell membrane,Cell membrane,2
2396,Q5SQ64,Cell membrane,Cell membrane,2
2397,Q14210,Cell membrane,Cell membrane,2
2398,O94772,Cell membrane,Cell membrane,2
2399,H3BQJ8,Cell membrane,Cell membrane,2
2400,Q9HBG7,Membrane,Membrane,9
2402,Q86SG7,Secreted,Secreted,6
2403,P07948,Cell membrane,Cell membrane,2
2406,O43283,Cytoplasm,Cytoplasm,4
2409,Q9Y2U5,Cytoplasm,Cytoplasm,4
2410,Q9Y6R4,Cytoplasm,Cytoplasm,4
2411,Q99683,Cytoplasm,Cytoplasm,4
2412,P41279,Cytoplasm,Cytoplasm,4
2413,Q12851,Cytoplasm,Cytoplasm,4
2414,O95819,Cytoplasm,Cytoplasm,4
2415,Q13021,Membrane,Membrane,9
2416,Q5VYJ5,Cytoplasmic vesicle membrane,Cytoplasm,4
2417,Q92585,Nucleus speckle,Nucleus,5
2418,Q9Y2U8,Nucleus inner membrane,Nucleus,5
2419,P23368,Mitochondrion matrix,Mitochondrion,8
2420,O60337,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
2421,P48740,Secreted,Secreted,6
2422,P41968,Cell membrane,Cell membrane,2
2425,Q9BUT9,Cytoplasm,Cytoplasm,4
2426,Q6DN14,Cytoplasmic vesicle,Cytoplasm,4
2427,Q6DN12,Membrane,Membrane,9
2428,Q71F56,Nucleus,Nucleus,5
2429,P08183,Cell membrane,Cell membrane,2
2430,P21439,Cell membrane,Cell membrane,2
2432,Q96RN5,Cytoplasm,Cytoplasm,4
2434,Q15726,Secreted,Secreted,6
2435,Q9H0B6,Cytoplasm,Cytoplasm,4
2437,Q53G59,Cytoplasmic vesicle,Cytoplasm,4
2438,Q9P2G3,Cytoplasm,Cytoplasm,4
2441,Q9P2K6,Cytoplasm,Cytoplasm,4
2442,Q9UKR3,Secreted,Secreted,6
2443,Q9H2R5,Secreted,Secreted,6
2445,Q92876,Secreted,Secreted,6
2446,Q9UKQ9,Secreted,Secreted,6
2447,P03952,Secreted,Secreted,6
2448,Q13241,Membrane,Membrane,9
2449,Q9NZS2,Membrane,Membrane,9
2450,Q93100,Cell membrane,Cell membrane,2
2451,Q02156,Cytoplasm,Cytoplasm,4
2452,P05129,Cytoplasm,Cytoplasm,4
2453,P41743,Cytoplasm,Cytoplasm,4
2454,P24723,Cytoplasm,Cytoplasm,4
2455,Q04759,Cytoplasm,Cytoplasm,4
2457,P14618,Cytoplasm,Cytoplasm,4
2479,Q6P1M3,Cytoplasm,Cytoplasm,4
2481,P09382,Secreted,Secreted,6
2482,O95214,Membrane,Membrane,9
2483,O95202,Mitochondrion inner membrane,Mitochondrion,8
2485,Q9UI17,Mitochondrion,Mitochondrion,8
2486,Q02978,Mitochondrion inner membrane,Mitochondrion,8
2489,Q3C1V0,Membrane,Membrane,9
2490,Q96JQ5,Membrane,Membrane,9
2491,Q9H2W1,Membrane,Membrane,9
2493,Q9Y4K4,Cytoplasm,Cytoplasm,4
2494,Q9H063,Nucleus,Nucleus,5
2495,Q9ULX9,Nucleus,Nucleus,5
2496,P43355,Cytoplasm,Cytoplasm,4
2498,P43364,Nucleus,Nucleus,5
2500,Q96M61,Cytoplasm,Cytoplasm,4
2501,Q9UBF1,Cytoplasm,Cytoplasm,4
2504,Q5TCQ9,Cell membrane,Cell membrane,2
2506,P04201,Cell membrane,Cell membrane,2
2508,Q9BQG0,Cytoplasm,Cytoplasm,4
2509,Q9UIS9,Nucleus,Nucleus,5
2510,O95243,Nucleus,Nucleus,5
2512,Q5VZF2,Nucleus,Nucleus,5
2513,Q05BQ5,Nucleus,Nucleus,5
2514,O43148,Nucleus,Nucleus,5
2515,P25205,Nucleus,Nucleus,5
2516,P33991,Nucleus,Nucleus,5
2517,Q96AQ8,Mitochondrion inner membrane,Mitochondrion,8
2518,Q8NE86,Mitochondrion inner membrane,Mitochondrion,8
2519,P40925,Cytoplasm,Cytoplasm,4
2520,P40926,Mitochondrion matrix,Mitochondrion,8
2521,Q8TC05,Nucleus,Nucleus,5
2523,A8K0S8,Nucleus,Nucleus,5
2524,Q9BTT4,Nucleus,Nucleus,5
2525,Q96G25,Nucleus,Nucleus,5
2526,Q9NWA0,Nucleus,Nucleus,5
2527,P29376,Membrane,Membrane,9
2528,O43504,Cytoplasm,Cytoplasm,4
2531,P01699,Secreted,Secreted,6
2532,P01706,Secreted,Secreted,6
2533,P01714,Secreted,Secreted,6
2534,A0A075B6J6,Secreted,Secreted,6
2535,P01718,Secreted,Secreted,6
2536,A0A0A0MRZ9,Secreted,Secreted,6
2537,P04211,Secreted,Secreted,6
2538,A0A075B6I4,Secreted,Secreted,6
2539,O75342,Cytoplasm,Cytoplasm,4
2540,O75951,Secreted,Secreted,6
2541,Q9NQ48,Cytoplasm,Cytoplasm,4
2542,Q9BXT6,Cytoplasm,Cytoplasm,4
2543,Q6P0N0,Nucleus,Nucleus,5
2545,Q12852,Cytoplasm,Cytoplasm,4
2547,O60336,Cytoplasm,Cytoplasm,4
2548,Q6ZN28,Cytoplasm,Cytoplasm,4
2549,Q9BQ69,Nucleus,Nucleus,5
2550,Q9UPN3,Cytoplasm,Cytoplasm,4
2551,Q9Y5Q3,Nucleus,Nucleus,5
2552,O60675,Nucleus,Nucleus,5
2553,P43356,Nucleus,Nucleus,5
2554,P43363,Nucleus,Nucleus,5
2558,Q3KP22,Nucleus inner membrane,Nucleus,5
2559,Q9BXY0,Nucleus,Nucleus,5
2560,Q5VT66,Mitochondrion outer membrane,Mitochondrion,8
2561,Q9UEW3,Cell membrane,Cell membrane,2
2562,Q15555,Cytoplasm,Cytoplasm,4
2563,O00339,Secreted,Secreted,6
2564,O95460,Secreted,Secreted,6
2565,P43243,Nucleus matrix,Nucleus,5
2566,Q7Z434,Mitochondrion outer membrane,Mitochondrion,8
2567,Q13394,Nucleus,Nucleus,5
2569,P11226,Secreted,Secreted,6
2570,Q6ZNC8,Membrane,Membrane,9
2571,Q9HCC0,Mitochondrion matrix,Mitochondrion,8
2572,Q8IX19,Membrane,Membrane,9
2573,O15068,Cytoplasm,Cytoplasm,4
2574,P10911,Membrane,Membrane,9
2575,D6RGH6,Nucleus,Nucleus,5
2576,Q96HR8,Cytoplasm,Cytoplasm,4
2578,Q86W26,Cytoplasm,Cytoplasm,4
2580,Q9Y3Q0,Cell membrane,Cell membrane,2
2581,P59047,Mitochondrion,Mitochondrion,8
2582,Q86W28,Cytoplasm,Cytoplasm,4
2583,Q7Z5D8,Nucleus,Nucleus,5
2584,Q8WY41,Cytoplasm,Cytoplasm,4
2586,Q93015,Cytoplasm,Cytoplasm,4
2590,O60934,Nucleus,Nucleus,5
2591,Q5VWK0,Cytoplasm,Cytoplasm,4
2592,Q8NCQ3,Membrane,Membrane,9
2594,Q9Y6Q9,Cytoplasm,Cytoplasm,4
2596,O15239,Mitochondrion inner membrane,Mitochondrion,8
2597,O95167,Mitochondrion inner membrane,Mitochondrion,8
2598,Q16718,Mitochondrion inner membrane,Mitochondrion,8
2599,O95182,Mitochondrion inner membrane,Mitochondrion,8
2600,Q9NX14,Mitochondrion inner membrane,Mitochondrion,8
2601,O95298,Mitochondrion inner membrane,Mitochondrion,8
2602,O43181,Mitochondrion inner membrane,Mitochondrion,8
2603,Q96PY6,Nucleus,Nucleus,5
2604,P51955,Nucleus,Nucleus,5
2605,P51957,Cell projection,Cell projection,1
2606,Q86SG6,Cytoplasm,Cytoplasm,4
2607,Q8N9A8,Nucleus membrane,Nucleus,5
2608,O95631,Secreted,Secreted,6
2609,Q9HB63,Secreted,Secreted,6
2610,Q8NC67,Membrane,Membrane,9
2611,P56730,Secreted,Secreted,6
2612,P01178,Secreted,Secreted,6
2613,Q96JN8,Cytoplasm,Cytoplasm,4
2614,P30990,Secreted,Secreted,6
2615,Q5QGS0,Nucleus,Nucleus,5
2616,Q8NCF5,Nucleus,Nucleus,5
2617,Q14934,Cytoplasm,Cytoplasm,4
2618,P12036,Cytoplasm,Cytoplasm,4
2619,Q12857,Nucleus,Nucleus,5
2621,Q9Y4Z2,Nucleus,Nucleus,5
2623,Q9NZG7,Membrane,Membrane,9
2624,Q86WB0,Nucleus,Nucleus,5
2625,Q6KC79,Nucleus,Nucleus,5
2626,Q9Y2I1,Cell membrane,Cell membrane,2
2627,P21452,Cell membrane,Cell membrane,2
2628,Q16617,Cell membrane,Cell membrane,2
2629,P43699,Nucleus,Nucleus,5
2630,Q9Y4A8,Nucleus,Nucleus,5
2631,Q12968,Cytoplasm,Cytoplasm,4
2632,Q8NET5,Cell membrane,Cell membrane,2
2633,Q9Y697,Mitochondrion,Mitochondrion,8
2634,Q92886,Nucleus,Nucleus,5
2635,P55769,Nucleus,Nucleus,5
2637,Q92982,Membrane,Membrane,9
2638,Q8N8Q9,Cell membrane,Cell membrane,2
2639,Q6NVV3,Membrane,Membrane,9
2641,Q8N8D7,Cell membrane,Cell membrane,2
2642,Q8IVV8,Cell membrane,Cell membrane,2
2643,P26717,Membrane,Membrane,9
2644,P30414,Membrane,Membrane,9
2645,Q8TAU0,Nucleus,Nucleus,5
2646,A6NCS4,Nucleus,Nucleus,5
2647,Q8NFZ3,Cell membrane,Cell membrane,2
2648,P59044,Cytoplasm,Cytoplasm,4
2649,O60391,Cell membrane,Cell membrane,2
2650,P48645,Secreted,Secreted,6
2651,P40261,Cytoplasm,Cytoplasm,4
2652,O60393,Nucleus,Nucleus,5
2653,Q9NPE3,Nucleus,Nucleus,5
2655,Q9Y314,Cytoplasm,Cytoplasm,4
2656,Q99466,Nucleus,Nucleus,5
2657,A8MTQ0,Nucleus,Nucleus,5
2658,Q6P988,Secreted,Secreted,6
2659,P61580,Nucleus,Nucleus,5
2660,Q99457,Nucleus,Nucleus,5
2661,E5RHQ5,Membrane,Membrane,9
2663,O60500,Cell membrane,Cell membrane,2
2666,Q86SE8,Nucleus,Nucleus,5
2667,Q6UXI9,Secreted,Secreted,6
2668,O75469,Nucleus,Nucleus,5
2669,P10588,Nucleus,Nucleus,5
2670,Q8N912,Cell membrane,Cell membrane,2
2671,Q9GZP1,Membrane,Membrane,9
2672,Q9H9Q4,Nucleus,Nucleus,5
2674,Q9Y2I6,Cytoplasm,Cytoplasm,4
2675,Q8N4C6,Cytoplasm,Cytoplasm,4
2676,Q7RTP0,Cell membrane,Cell membrane,2
2677,Q0D2K0,Membrane,Membrane,9
2678,Q86X76,Mitochondrion,Mitochondrion,8
2679,Q4KMZ8,Cell membrane,Cell membrane,2
2680,Q07444,Membrane,Membrane,9
2681,Q15270,Nucleus,Nucleus,5
2682,O95096,Nucleus,Nucleus,5
2684,Q9HBL8,Cytoplasm,Cytoplasm,4
2685,Q8NCW5,Mitochondrion,Mitochondrion,8
2686,Q96PB7,Secreted,Secreted,6
2687,Q13823,Nucleus,Nucleus,5
2688,P46087,Nucleus,Nucleus,5
2689,P29475,Cell membrane,Cell membrane,2
2690,O15259,Cell junction,Cell junction,3
2692,Q9UFN0,Cytoplasm,Cytoplasm,4
2695,P01303,Secreted,Secreted,6
2696,P15559,Cytoplasm,Cytoplasm,4
2697,P20393,Nucleus,Nucleus,5
2698,P13056,Nucleus,Nucleus,5
2699,O00482,Nucleus,Nucleus,5
2700,Q9NSY0,Cytoplasm,Cytoplasm,4
2701,O96028,Cytoplasm,Cytoplasm,4
2702,Q9UNZ2,Nucleus,Nucleus,5
2703,P42857,Membrane,Membrane,9
2704,Q9Y328,Membrane,Membrane,9
2706,O76041,Cytoplasm,Cytoplasm,4
2708,Q8NC96,Cytoplasmic vesicle,Cytoplasm,4
2709,Q92692,Cell membrane,Cell membrane,2
2710,Q9HC98,Cytoplasm,Cytoplasm,4
2711,Q8IXH7,Nucleus,Nucleus,5
2712,O14524,Nucleus inner membrane,Nucleus,5
2713,P08473,Cell membrane,Cell membrane,2
2714,Q0ZGT2,Cytoplasm,Cytoplasm,4
2715,P21359,Nucleus,Nucleus,5
2716,Q16649,Nucleus,Nucleus,5
2718,Q96TA1,Cytoplasm,Cytoplasm,4
2719,Q9Y221,Nucleus,Nucleus,5
2720,Q9UMY1,Nucleus,Nucleus,5
2721,Q15155,Membrane,Membrane,9
2722,P69849,Membrane,Membrane,9
2723,Q9NZM5,Nucleus,Nucleus,5
2725,Q8NFA2,Cell membrane,Cell membrane,2
2726,O60287,Nucleus,Nucleus,5
2727,Q99742,Nucleus,Nucleus,5
2728,Q99743,Nucleus,Nucleus,5
2729,Q14207,Nucleus,Nucleus,5
2730,P48145,Cell membrane,Cell membrane,2
2732,Q8WWG1,Cell membrane,Cell membrane,2
2733,P54845,Cytoplasm,Cytoplasm,4
2734,Q496H8,Cell membrane,Cell membrane,2
2735,Q5VVY1,Nucleus,Nucleus,5
2738,P04629,Cell membrane,Cell membrane,2
2739,P49790,Nucleus,Nucleus,5
2741,O76036,Cell membrane,Cell membrane,2
2742,Q9BTX1,Nucleus,Nucleus,5
2743,Q9NXR1,Cytoplasm,Cytoplasm,4
2744,Q15784,Nucleus,Nucleus,5
2745,O96000,Mitochondrion inner membrane,Mitochondrion,8
2746,O43677,Mitochondrion inner membrane,Mitochondrion,8
2747,Q9BU61,Nucleus,Nucleus,5
2748,Q15843,Nucleus,Nucleus,5
2749,Q9H3P2,Nucleus,Nucleus,5
2750,Q86UQ8,Nucleus,Nucleus,5
2751,Q96E22,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
2753,Q5JS37,Secreted,Secreted,6
2754,Q9NX24,Nucleus,Nucleus,5
2755,Q92542,Membrane,Membrane,9
2756,O75323,Cytoplasm,Cytoplasm,4
2757,P25103,Cell membrane,Cell membrane,2
2758,Q5VXU1,Cell membrane,Cell membrane,2
2759,Q5M9Q1,Nucleus,Nucleus,5
2760,Q969G9,Cell membrane,Cell membrane,2
2761,Q969F2,Cell membrane,Cell membrane,2
2762,Q9HC29,Cytoplasm,Cytoplasm,4
2763,Q9BZE4,Nucleus,Nucleus,5
2764,Q9UGY1,Nucleus,Nucleus,5
2766,P78316,Nucleus,Nucleus,5
2767,Q9Y3C1,Nucleus,Nucleus,5
2768,Q99733,Nucleus,Nucleus,5
2769,Q9H841,Membrane,Membrane,9
2770,Q9NZP6,Nucleus,Nucleus,5
2771,Q8IXF0,Nucleus,Nucleus,5
2774,Q9NQX5,Membrane,Membrane,9
2775,Q9UND3,Nucleus,Nucleus,5
2776,C9JG80,Membrane,Membrane,9
2777,O75200,Secreted,Secreted,6
2778,A6NJ64,Nucleus,Nucleus,5
2779,P06748,Nucleus,Nucleus,5
2780,Q6W5P4,Cell membrane,Cell membrane,2
2781,O95502,Membrane,Membrane,9
2782,Q9HCQ7,Secreted,Secreted,6
2783,Q15761,Cell membrane,Cell membrane,2
2784,Q15466,Nucleus,Nucleus,5
2785,Q14995,Nucleus,Nucleus,5
2786,P43354,Cytoplasm,Cytoplasm,4
2787,Q92570,Nucleus,Nucleus,5
2788,P49281,Cell membrane,Cell membrane,2
2790,Q9UHY1,Cytoplasm,Cytoplasm,4
2791,Q92823,Cell membrane,Cell membrane,2
2793,P60323,Nucleus,Nucleus,5
2794,Q3BBV0,Cytoplasm,Cytoplasm,4
2795,Q96M43,Cytoplasm,Cytoplasm,4
2796,Q8N660,Cytoplasm,Cytoplasm,4
2797,B4DH59,Cytoplasm,Cytoplasm,4
2798,Q14596,Cytoplasm,Cytoplasm,4
2799,P13591,Cell membrane,Cell membrane,2
2800,O15394,Cell membrane,Cell membrane,2
2801,A8MVU1,Cytoplasm,Cytoplasm,4
2802,P14598,Cytoplasm,Cytoplasm,4
2803,O00533,Secreted,Secreted,6
2804,O95944,Cell membrane,Cell membrane,2
2805,O14777,Nucleus,Nucleus,5
2806,Q9GZM8,Cytoplasm,Cytoplasm,4
2807,Q13562,Cytoplasm,Cytoplasm,4
2808,O00746,Mitochondrion intermembrane space,Mitochondrion,8
2810,O43676,Mitochondrion inner membrane,Mitochondrion,8
2811,P17568,Mitochondrion inner membrane,Mitochondrion,8
2812,E9PQ53,Mitochondrion inner membrane,Mitochondrion,8
2813,Q8N183,Mitochondrion,Mitochondrion,8
2814,Q9P032,Mitochondrion,Mitochondrion,8
2815,A1L188,Mitochondrion,Mitochondrion,8
2816,Q96SB3,Cytoplasm,Cytoplasm,4
2817,P20929,Cytoplasm,Cytoplasm,4
2818,P16519,Cytoplasmic vesicle,Cytoplasm,4
2819,Q8N987,Cytoplasm,Cytoplasm,4
2820,Q969S2,Nucleus,Nucleus,5
2821,Q8TDX7,Nucleus,Nucleus,5
2822,Q8WX92,Nucleus,Nucleus,5
2823,P18615,Nucleus,Nucleus,5
2824,P52952,Nucleus,Nucleus,5
2825,Q9C056,Nucleus,Nucleus,5
2826,Q7RTR2,Cytoplasm,Cytoplasm,4
2827,Q9C000,Cytoplasm,Cytoplasm,4
2828,Q96P20,Cytoplasm,Cytoplasm,4
2829,Q12879,Cell membrane,Cell membrane,2
2830,Q9C002,Nucleus,Nucleus,5
2831,Q96T66,Mitochondrion,Mitochondrion,8
2832,Q9HB89,Cell membrane,Cell membrane,2
2833,Q8IW45,Mitochondrion,Mitochondrion,8
2834,O14931,Cell membrane,Cell membrane,2
2835,P40205,Cytoplasm,Cytoplasm,4
2836,Q9HD90,Nucleus,Nucleus,5
2837,P01185,Secreted,Secreted,6
2839,Q9UMS0,Mitochondrion,Mitochondrion,8
2840,Q12986,Nucleus,Nucleus,5
2841,Q13952,Nucleus,Nucleus,5
2843,Q96IV0,Cytoplasm,Cytoplasm,4
2844,Q9NPE2,Nucleus,Nucleus,5
2845,Q86UT5,Cell membrane,Cell membrane,2
2846,Q9BZQ8,Cytoplasm,Cytoplasm,4
2848,O15226,Nucleus,Nucleus,5
2849,Q9UD57,Nucleus,Nucleus,5
2850,O15522,Nucleus,Nucleus,5
2851,Q99801,Nucleus,Nucleus,5
2852,A6NJ46,Nucleus,Nucleus,5
2853,P28336,Cell membrane,Cell membrane,2
2854,Q13224,Cell membrane,Cell membrane,2
2855,Q14957,Cell membrane,Cell membrane,2
2856,O15399,Cell membrane,Cell membrane,2
2857,Q05586,Cell membrane,Cell membrane,2
2858,Q9BSC4,Nucleus,Nucleus,5
2859,Q9H8H0,Nucleus,Nucleus,5
2860,Q9H6R4,Nucleus,Nucleus,5
2861,A8MQ27,Cytoplasm,Cytoplasm,4
2862,Q8WUJ1,Secreted,Secreted,6
2864,Q9BR09,Cytoplasm,Cytoplasm,4
2865,Q9Y3R4,Cytoplasm,Cytoplasm,4
2866,Q8WWR8,Membrane,Membrane,9
2867,Q00653,Nucleus,Nucleus,5
2868,P80188,Secreted,Secreted,6
2869,Q8N5V2,Cytoplasm,Cytoplasm,4
2870,Q9H2A3,Nucleus,Nucleus,5
2871,O14745,Cytoplasm,Cytoplasm,4
2873,Q9NQR4,Cytoplasm,Cytoplasm,4
2875,P29371,Cell membrane,Cell membrane,2
